Player,Tier,LP,Wins,Top4,Played,Win Rate %,Top4 Rate %
Drunkiris,Challenger 1,746 LP,51,182,351,14.5,51.9
Kuzma is High,Challenger 1,732 LP,30,144,266,11.3,54.1
EGN Rodrigues,Grandmaster 1,538 LP,15,49,83,18.1,59
ArtourBabaevsky,Grandmaster 1,507 LP,17,58,94,18.1,61.7
Batata,Grandmaster 1,418 LP,21,82,154,13.6,53.3
EGN Renygp xD,Grandmaster 1,300 LP,42,161,335,12.5,48.1
Kilnae,Master 1,166 LP,14,68,125,11.2,54.4
Nyxer TFT,Diamond 1,93 LP,15,62,128,11.7,48.4
FTW AïM,Diamond 1,75 LP,21,79,156,13.5,50.6
Jitonce,Diamond 2,23 LP,11,38,62,17.7,61.3
